"Date
▼",Visitor/Neutral,PTS,Home/Neutral,PTS
3/31/2023,Denver Nuggets,93,Phoenix Suns,100
4/1/2023,Dallas Mavericks,122,Miami Heat,129
4/1/2023,Los Angeles Clippers,114,New Orleans Pelicans,122
4/2/2023,Toronto Raptors,128,Charlotte Hornets,108
4/2/2023,Utah Jazz,110,Brooklyn Nets,111
4/2/2023,Memphis Grizzlies,107,Chicago Bulls,128
4/2/2023,Portland Trail Blazers,107,Minnesota Timberwolves,105
4/2/2023,Dallas Mavericks,130,Atlanta Hawks,132
4/2/2023,Washington Wizards,109,New York Knicks,118
4/2/2023,Detroit Pistons,102,Orlando Magic,128
"Sun, Apr 2, 2023",San Antonio Spurs,142,Sacramento Kings,134
"Sun, Apr 2, 2023",Los Angeles Lakers,134,Houston Rockets,109
"Sun, Apr 2, 2023",Phoenix Suns,128,Oklahoma City Thunder,118
"Sun, Apr 2, 2023",Indiana Pacers,105,Cleveland Cavaliers,115
"Sun, Apr 2, 2023",Philadelphia 76ers,104,Milwaukee Bucks,117
"Sun, Apr 2, 2023",Golden State Warriors,110,Denver Nuggets,112
"Tue, Apr 4, 2023",Toronto Raptors,120,Charlotte Hornets,100
"Tue, Apr 4, 2023",Miami Heat,118,Detroit Pistons,105
"Tue, Apr 4, 2023",Cleveland Cavaliers,117,Orlando Magic,113
"Tue, Apr 4, 2023",Milwaukee Bucks,140,Washington Wizards,128
"Tue, Apr 4, 2023",Minnesota Timberwolves,107,Brooklyn Nets,102
"Tue, Apr 4, 2023",Atlanta Hawks,123,Chicago Bulls,105
"Tue, Apr 4, 2023",Denver Nuggets,103,Houston Rockets,124
"Tue, Apr 4, 2023",Portland Trail Blazers,109,Memphis Grizzlies,119
"Tue, Apr 4, 2023",Sacramento Kings,121,New Orleans Pelicans,103
"Tue, Apr 4, 2023",Boston Celtics,101,Philadelphia 76ers,103
"Tue, Apr 4, 2023",Los Angeles Lakers,135,Utah Jazz,133
"Tue, Apr 4, 2023",Oklahoma City Thunder,125,Golden State Warriors,136
"Tue, Apr 4, 2023",San Antonio Spurs,94,Phoenix Suns,115
"Wed, Apr 5, 2023",Brooklyn Nets,123,Detroit Pistons,108
"Wed, Apr 5, 2023",New York Knicks,138,Indiana Pacers,129
"Wed, Apr 5, 2023",Washington Wizards,116,Atlanta Hawks,134
"Wed, Apr 5, 2023",Toronto Raptors,93,Boston Celtics,97
"Wed, Apr 5, 2023",Chicago Bulls,92,Milwaukee Bucks,105
"Wed, Apr 5, 2023",Memphis Grizzlies,131,New Orleans Pelicans,138
"Wed, Apr 5, 2023",Sacramento Kings,119,Dallas Mavericks,123
"Wed, Apr 5, 2023",Los Angeles Lakers,118,Los Angeles Clippers,125
"Thu, Apr 6, 2023",Cleveland Cavaliers,118,Orlando Magic,94
"Thu, Apr 6, 2023",Miami Heat,129,Philadelphia 76ers,101
"Thu, Apr 6, 2023",Portland Trail Blazers,127,San Antonio Spurs,129
"Thu, Apr 6, 2023",Oklahoma City Thunder,114,Utah Jazz,98
"Thu, Apr 6, 2023",Denver Nuggets,115,Phoenix Suns,119
"Fri, Apr 7, 2023",Houston Rockets,112,Charlotte Hornets,109
"Fri, Apr 7, 2023",Detroit Pistons,122,Indiana Pacers,115
"Fri, Apr 7, 2023",Miami Heat,108,Washington Wizards,114
"Fri, Apr 7, 2023",Philadelphia 76ers,136,Atlanta Hawks,131
"Fri, Apr 7, 2023",Toronto Raptors,102,Boston Celtics,121
"Fri, Apr 7, 2023",Orlando Magic,84,Brooklyn Nets,101
"Fri, Apr 7, 2023",Memphis Grizzlies,137,Milwaukee Bucks,114
